id,Kanji,Strokes,Grade,JLPT-test,Radical Freq.,Kanji Frequency without Proper Nouns
41,一,1,1,5,14,848362
124,乙,1,7,1,7,1348
2060,了,2,7,2,3,46239
2074,力,2,1,4,23,474012
1577,二,2,1,5,6,155284
1070,人,2,1,5,104,1696029
1584,入,2,1,5,1,562966
829,七,2,1,5,14,51124
359,九,2,1,5,7,44817
1647,八,2,1,5,8,57038
1903,又,2,7,1,9,1402
1392,丁,2,3,1,14,13222
907,十,2,1,5,11,94851
1498,刀,2,2,1,32,5496
1312,大,3,1,5,16,1224358
292,丸,3,2,2,4,20149
557,己,3,6,1,2,25044
1071,刃,3,7,1,32,5072
1852,亡,3,6,3,5,83912
587,口,3,1,4,70,113613
588,工,3,2,4,4,134455
1101,寸,3,6,1,12,4241
1889,凡,3,7,1,1,4378
360,久,3,5,2,4,15812
361,及,3,7,1,4,62000
362,弓,3,2,1,11,1326
1138,夕,3,1,4,5,25026
1906,万,3,2,5,14,404560
131,下,3,1,5,14,328608
650,乞,3,7,0,7,252
1166,千,3,1,5,11,36665
1167,川,3,1,5,3,39520
428,巾,3,7,0,17,206
693,才,3,2,3,89,9723
952,女,3,1,5,36,322259
959,小,3,1,5,5,227697
1986,与,3,7,3,14,143595
1493,土,3,1,5,50,96642
744,三,3,1,5,14,151259
745,山,3,1,5,16,90473
1009,上,3,1,5,14,739020
1010,丈,3,7,0,14,10047
247,干,3,6,2,5,10471
759,士,3,4,1,5,101506
760,子,3,1,5,9,505793
513,月,4,1,5,8,951166
514,犬,4,1,4,17,17022
1293,太,4,2,3,16,33847
1807,片,4,6,2,2,17695
1041,心,4,2,4,76,256954
1561,屯,4,7,1,1,932
545,元,4,2,4,9,284013
546,幻,4,7,1,4,6657
1570,内,4,2,3,104,506360
1829,方,4,2,4,6,568673
1580,匂,4,7,0,3,647
46,引,4,2,3,11,217047
558,戸,4,2,2,6,29863
1583,日,4,1,5,38,1855755
1072,仁,4,6,1,104,3227
1333,丹,4,7,1,4,2129
1081,水,4,1,5,118,158842
1853,乏,4,7,1,4,6046
576,五,4,1,5,6,149703
577,互,4,7,3,6,22648
578,午,4,2,5,11,175250
589,公,4,2,2,8,328700
2125,六,4,1,5,8,49930
590,勾,4,7,0,3,280
591,孔,4,7,1,9,1098
1104,井,4,7,1,6,9355
1876,木,4,1,5,85,50179
87,円,4,1,5,3,496542
855,尺,4,6,1,15,1409
863,手,4,1,4,6,736309
1376,中,4,1,5,1,846645
105,王,4,1,3,15,71024
1393,弔,4,7,1,11,2079
883,収,4,6,3,9,146002
1655,反,4,3,3,9,224230
381,牛,4,2,4,6,32331
1154,切,4,2,4,32,204798
132,化,4,3,3,2,439707
133,火,4,1,5,26,75741
394,凶,4,7,1,4,4290
1683,比,4,5,2,1,113113
1941,毛,4,2,2,1,10106
1435,爪,4,7,0,2,554
670,今,4,2,5,104,521143
164,牙,4,7,0,1,2493
1956,厄,4,7,1,4,817
172,介,4,7,2,104,83725
429,斤,4,7,1,5,396
1711,匹,4,7,2,4,7357
1971,友,4,2,5,9,42506
445,区,4,3,3,4,281786
960,升,4,7,1,11,652
1472,天,4,1,5,16,86565
961,少,4,2,4,5,175913
1217,双,4,7,2,9,16367
1987,予,4,3,3,3,245667
1736,不,4,4,4,1,375009
1737,夫,4,4,3,16,78438
1738,父,4,2,5,1,63779
1484,斗,4,7,1,3,2557
1776,仏,4,5,2,104,6745
1011,冗,4,7,1,4,2373
246,刈,4,7,1,32,2974
761,支,4,5,3,1,288712
1785,分,4,2,5,32,823138
506,欠,4,4,3,8,48034
762,止,4,2,4,6,189165
1786,文,4,1,4,2,345135
763,氏,4,4,1,2,353478
768,市,5,2,3,17,627813
